ID,height,month,date,number,visited,guess
1,163,September,14th,even,No,54
2,164,October,22nd,even,No,54
3,146,August,23rd,odd,No,40
4,148,September,18th,even,No,36
5,145.6,December,18th,even,No,55
6,176,October,10th,even,No,52
7,158,May,3rd,odd,No,20
8,167,February,24th,even,No,70
9,162,November,4th,even,No,48
