rank,title,year,budget,opening,us_gross,world_gross
194,Before Sunrise,1995,"$2,500,000 (estimated)","$1,423,537","$5,535,405","$5,987,386"
196,Catch Me If You Can,2002,NA,DTS,Color,1.85 : 1
198,In the Name of the Father,1993,NA,NA,NA,NA
199,Barry Lyndon,1975,"$11,000,000 (estimated)",NA,"$198,992",NA
200,Room,2015,"$13,000,000 (estimated)","$118,298","$14,677,654","$35,401,758"
201,Gone Girl,2014,NA,Dolby Digital,Color,2.39 : 1
202,Hacksaw Ridge,2016,"$40,000,000 (estimated)","$15,190,758","$67,209,615","$180,563,636"
204,Andhadhun,2018,"$4,500,000 (estimated)","$278,677","$1,193,046","$62,475,342"
207,To Be or Not to Be,1942,NA,NA,NA,NA
212,Mad Max: Fury Road,2015,"$150,000,000 (estimated)","$45,428,128","$154,058,340","$375,658,750"
213,Ben-Hur,1959,"$15,000,000 (estimated)","$241,792","$74,422,622","$74,427,638"
215,Million Dollar Baby,2004,"$30,000,000 (estimated)","$179,953","$100,492,203","$216,763,646"
218,Stand by Me,1986,"$8,000,000 (estimated)","$242,795","$52,287,414","$52,287,414"
219,Network,1976,"$3,800,000 (estimated)","$23,690,757","$23,689,877",NA
220,Logan,2017,"$97,000,000 (estimated)","$88,411,916","$226,277,068","$619,179,950"
221,Gangs of Wasseypur,2012,"₹184,000,000 (estimated)",NA,"$4,384,642",NA
228,Spotlight,2015,"$20,000,000 (estimated)","$295,009","$45,055,776","$98,690,254"
230,Rebecca,1940,"$1,288,000 (estimated)",NA,"$72,275",NA
232,Hotel Rwanda,2004,"$17,500,000 (estimated)","$100,091","$23,530,892","$33,882,243"
236,Into the Wild,2007,"$15,000,000 (estimated)","$212,440","$18,354,356","$56,675,895"
238,Amores perros,2000,"$2,000,000 (estimated)","$61,047","$5,408,467","$20,908,467"
240,Andrei Rublev,1966,NA,Mono,Black and White,2.35 : 1
243,96,1982,NA,1.66 : 1,Mono,NA
248,The Princess Bride,1987,"$16,000,000 (estimated)","$206,243","$30,857,814","$30,902,442"
